1000-TURN LATENCY TEST RESULTS
================================================================================

User ID: latency_test_user
Total Time: 574.59 seconds
Total Memories: 40

PROCESSING LATENCIES - Extract + Store (ms):
Mean: 574.57
Median: 349.74
P95: 1333.14
P99: 1681.41

RETRIEVAL LATENCIES - Search + Rank (ms):
Mean: 293.90
Median: 296.07
P95: 378.58
P99: 426.19

DETAILED TURN DATA:
Turn     Process (ms)    Retrieve (ms)  
----------------------------------------
1        25764.41        67.79          
2        173.69          62.78          
3        1881.02         67.84          
4        879.77          87.85          
5        109.15          101.82         
6        124.91          123.91         
7        189.82          187.70         
8        506.50          98.70          
9        396.96          133.38         
10       766.69          145.28         
11       173.02          141.46         
12       127.96          126.55         
13       790.31          108.43         
14       122.89          122.89         
15       809.18          127.79         
16       113.16          111.64         
17       836.53          135.22         
18       183.56          144.28         
19       135.63          134.62         
20       488.15          185.07         
21       189.04          155.44         
22       1178.31         169.70         
23       844.05          156.78         
24       696.88          162.41         
25       177.80          176.77         
26       162.32          160.96         
27       155.18          154.17         
28       211.07          184.78         
29       394.61          275.47         
30       464.48          190.36         
31       204.89          164.97         
32       1017.60         197.91         
33       1003.47         200.41         
34       185.91          184.85         
35       193.89          192.89         
36       223.27          221.84         
37       193.91          193.40         
38       237.21          212.32         
39       204.87          203.86         
40       274.48          199.07         
41       233.15          196.15         
42       449.31          216.24         
43       786.83          202.71         
44       824.72          208.38         
45       207.02          207.02         
46       199.57          198.39         
47       234.74          234.74         
48       271.76          238.31         
49       640.33          221.15         
50       1474.80         203.45         
51       246.27          204.32         
52       321.63          233.18         
53       1205.33         242.73         
54       210.62          209.69         
55       985.58          201.85         
56       191.56          191.56         
57       199.02          198.03         
58       1263.92         229.43         
59       236.26          235.10         
60       374.46          250.93         
61       250.66          205.91         
62       289.01          244.39         
63       1387.25         209.77         
64       939.14          252.71         
65       207.54          206.54         
66       215.94          214.93         
67       218.21          218.08         
68       250.57          227.13         
69       358.78          252.26         
70       632.99          236.41         
71       276.71          231.98         
72       282.94          281.30         
73       968.04          233.38         
74       213.15          212.13         
75       220.09          218.98         
76       212.18          211.18         
77       991.70          254.41         
78       285.82          238.34         
79       235.40          231.72         
80       262.93          239.97         
81       269.91          226.76         
82       1371.24         276.36         
83       1020.13         289.91         
84       1458.86         269.54         
85       223.70          222.70         
86       248.65          248.65         
87       215.55          214.31         
88       296.16          269.99         
89       544.58          279.14         
90       1060.41         275.94         
91       272.54          235.24         
92       1139.80         250.60         
93       903.38          262.31         
94       279.32          277.78         
95       826.73          333.01         
96       251.95          250.96         
97       241.70          240.56         
98       317.58          276.85         
99       275.67          275.67         
100      434.50          289.74         
101      289.79          255.94         
102      645.15          296.87         
103      877.82          278.47         
104      901.21          269.07         
105      250.60          249.60         
106      250.53          250.53         
107      279.90          278.49         
108      1415.98         272.18         
109      400.42          281.62         
110      492.13          286.03         
111      302.48          260.85         
112      353.75          279.47         
113      923.05          288.42         
114      283.35          282.31         
115      268.10          267.56         
116      351.42          350.91         
117      374.86          373.86         
118      324.65          296.27         
119      242.11          241.09         
120      294.94          260.59         
121      290.49          251.95         
122      329.65          297.17         
123      1124.92         293.24         
124      1038.81         277.64         
125      269.10          266.98         
126      249.39          249.39         
127      250.37          249.38         
128      335.57          315.22         
129      606.82          292.12         
130      1282.97         279.57         
131      316.84          270.96         
132      339.74          338.18         
133      1170.37         331.09         
134      304.47          302.45         
135      869.73          355.43         
136      306.17          306.17         
137      962.43          339.17         
138      319.51          279.11         
139      283.59          282.55         
140      425.29          319.80         
141      336.87          287.83         
142      1261.25         302.43         
143      946.92          282.37         
144      779.10          325.78         
145      300.18          299.44         
146      285.80          284.44         
147      349.84          347.73         
148      345.46          310.93         
149      409.37          315.84         
150      600.53          297.35         
151      316.04          280.35         
152      1050.18         287.96         
153      1078.41         286.93         
154      282.22          282.22         
155      296.23          294.92         
156      266.67          265.45         
157      292.14          292.14         
158      1784.03         290.75         
159      314.79          314.79         
160      363.82          328.36         
161      301.01          262.53         
162      569.36          312.84         
163      943.02          292.41         
164      972.93          397.69         
165      299.64          299.58         
166      275.03          272.61         
167      293.52          292.53         
168      333.67          301.65         
169      612.33          331.25         
170      1047.50         309.32         
171      351.01          310.89         
172      363.25          311.43         
173      1162.91         297.01         
174      334.38          333.38         
175      915.60          357.14         
176      316.09          314.10         
177      304.44          303.00         
178      365.15          321.28         
179      396.43          395.43         
180      524.12          345.85         
181      327.21          302.89         
182      364.92          332.66         
183      1506.55         337.41         
184      993.24          301.44         
185      262.70          261.70         
186      258.36          256.81         
187      268.29          265.19         
188      334.66          292.83         
189      426.78          286.59         
190      732.80          291.19         
191      319.84          290.21         
192      309.22          309.22         
193      1066.46         325.45         
194      284.11          284.11         
195      271.92          271.92         
196      286.99          286.45         
197      888.39          328.02         
198      318.95          292.34         
199      281.18          280.19         
200      298.23          274.28         
201      296.72          274.00         
202      1205.98         311.32         
203      1286.05         298.72         
204      681.19          299.10         
205      301.93          301.32         
206      330.05          329.04         
207      343.46          342.36         
208      1604.44         342.45         
209      700.00          410.75         
210      973.18          318.87         
211      322.13          290.12         
212      1450.29         322.89         
213      1398.93         321.35         
214      335.20          334.19         
215      903.29          378.58         
216      334.36          333.14         
217      320.53          320.53         
218      390.99          357.80         
219      337.98          336.92         
220      459.63          327.55         
221      357.34          333.68         
222      1442.07         353.28         
223      993.44          328.08         
224      1140.39         354.96         
225      294.61          294.61         
226      324.92          324.92         
227      341.62          340.62         
228      380.38          345.04         
229      446.01          338.41         
230      588.21          343.86         
231      321.87          302.25         
232      411.37          344.30         
233      1328.73         508.40         
234      336.48          334.36         
235      302.19          300.17         
236      332.99          328.93         
237      298.45          297.44         
238      364.20          341.66         
239      328.43          327.42         
240      350.29          324.64         
241      343.14          316.72         
242      378.58          342.75         
243      1197.13         336.17         
244      1802.60         371.88         
245      332.73          331.22         
246      308.72          306.17         
247      333.86          332.96         
248      398.46          370.96         
249      770.65          339.81         
250      1027.04         347.53         
251      323.31          288.14         
252      443.30          442.29         
253      1007.53         306.42         
254      328.23          326.74         
255      905.05          361.01         
256      394.24          393.11         
257      992.63          361.12         
258      1671.06         364.30         
259      350.59          350.59         
260      558.18          386.07         
261      385.76          354.76         
262      1446.78         367.50         
263      993.04          322.32         
264      1005.17         437.28         
265      335.88          335.88         
266      302.37          302.37         
267      319.95          318.54         
268      415.70          392.91         
269      552.01          422.46         
270      810.49          355.45         
271      395.35          370.47         
272      1164.02         374.24         
273      1608.39         364.22         
274      337.22          335.88         
275      318.89          318.89         
276      304.35          303.35         
